#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-12-18T13:28:59 [V7.4.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-12-18T13:28:59	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/890/46/table1&-order=I&-out=TIC&-out=Teff&-out=logg&-out=Rad&-out=Per&-out=Nfl&-out=Nset&-out=Freq&-out=Flag&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18900046
#Name: J/ApJ/890/46
#Title: Superflares on solar-type stars from TESS first year (Tu+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apj/890/46	    IVOID of underlying data collection
#INFO	creator=Tu Z.-L.	    First author or institution
#INFO	cites=bibcode:2020ApJ...890...46T	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/890/46	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18900046	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJ_890_46_table1:
#Name: J/ApJ/890/46/table1
#Title: Flare stars
#Column	TIC	(I9)	[737327/468899939] TESS identifier	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	[5103/5998] Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	[4/4.71] log surface gravity	[ucd=phys.gravity]
#Column	Rad	(F5.2)	[0.69/1.7] Stellar radius	[ucd=phys.size.radius]
#Column	Per	(F5.2)	[0.14/25.5] Stellar rotational period	[ucd=time.period]
#Column	Nfl	(I2)	[1/63] Number of flares (1)	[ucd=meta.number]
#Column	Nset	(I2)	[1/13] Number of Set-n (2)	[ucd=meta.number]
#Column	Freq	(F6.2)	[1.19/233.2] Flare frequency, f*, deduced by Equ. 9 (N_*flares_/{tau}*) (3)	[ucd=em.freq;src.var]
#Column	Flag	(a5)	Flare star flag (4)	[ucd=meta.code.error]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
TIC	Teff	logg	Rad	Per	Nfl	Nset	Freq	Flag	Simbad	_RA	_DE
 77371445	5311	 4.44	 0.95	 4.77	 4	 2	 30.74	     	Simbad	072.64767	-41.04745
101100599	5458	 4.50	 0.90	 3.53	 2	 2	 17.53	GM   	Simbad	057.62282	-43.61840
144162567	5361	 4.47	 0.93	 1.24	 7	 2	 53.80	GM   	Simbad	060.97260	-44.65877
153710618	5251	 4.49	 0.90	 1.57	 3	 2	 23.06	     	Simbad	065.69025	-44.54774
166874846	5881	 4.69	 0.77	 2.52	 6	 2	 46.13	     	Simbad	059.66367	-31.59505
168696027	5430	 4.20	 1.28	 2.04	 5	 2	 38.44	     	Simbad	061.46763	-31.64398
178285451	5900	 4.47	 1.00	 2.67	 4	 2	 30.75	     	Simbad	060.52346	-23.70050
179050471	5189	 4.59	 0.78	 1.85	 3	 2	 23.06	GM   	Simbad	064.58621	-29.63880
257605131	5481	 4.56	 0.86	 4.85	 1	 2	  7.69	GM   	Simbad	062.96645	-37.93978
257644579	5916	 4.38	 1.11	 1.51	10	 2	 76.86	     	Simbad	071.45131	-36.26286
259540732	5108	 4.52	 0.84	 9.88	 1	 2	  7.69	     	Simbad	071.54920	-48.13820
161476008	5435	 4.47	 0.94	 3.07	 2	 2	 15.37	     	Simbad	072.97308	-46.78703
279492354	5742	 4.47	 0.98	 3.14	 1	 2	  7.69	     	Simbad	059.01800	-16.78104
 20096356	5458	 4.46	 0.95	 0.79	16	 2	127.34	     	Simbad	089.46165	-38.06754
 21434829	5504	 4.45	 0.97	 4.91	 7	 2	 55.71	     	Simbad	085.09924	-38.57921
 21540586	5417	 4.27	 1.18	 1.35	 9	 2	 71.63	     	Simbad	086.31766	-38.61367
 21649667	5857	 4.14	 1.44	 0.15	 1	 2	  7.96	GM   	Simbad	087.47863	-37.40793
 30946742	5800	 4.39	 1.08	 1.96	 3	 2	 23.88	     	Simbad	079.54094	-28.92762
 78055898	5495	 4.30	 1.14	 4.07	10	 2	 79.59	     	Simbad	080.44638	-33.13443
 92845906	5634	 4.17	 1.37	 2.07	22	 2	175.12	GM   	Simbad	082.57950	-19.27551
139396805	5475	 4.29	 1.16	 2.46	 2	 2	 15.92	     	Simbad	079.90512	-22.24951
140209922	5839	 4.46	 1.00	 2.05	 6	 2	 47.75	     	Simbad	084.70549	-35.49219
153834085	5330	 4.28	 1.15	 2.70	 2	 2	 15.37	     	Simbad	067.25248	-42.82487
192848409	5171	 4.55	 0.82	 1.78	 7	 2	 55.71	     	Simbad	083.25143	-41.59630
290716988	5113	 4.49	 0.87	 4.49	 7	 2	 55.69	     	Simbad	084.23689	-47.96469
393228453	5909	 4.42	 1.06	 1.33	 8	 2	 63.65	     	Simbad	085.08991	-45.02210
453856222	5851	 4.42	 1.05	 2.10	 1	 2	  7.96	     	Simbad	082.83509	-42.84552
 24535497	5283	 4.53	 0.86	 7.65	 1	 2	  7.96	     	Simbad	083.46112	-34.57080
100609635	5729	 4.29	 1.20	 4.57	 1	 2	  7.96	     	Simbad	086.98216	-30.77654
119289797	5158	 4.23	 1.18	 4.12	 3	 2	 25.03	     	Simbad	096.52880	-41.04827
130572079	5154	 4.55	 0.82	 3.98	 1	 2	  8.34	GM   	Simbad	105.47252	-42.46560
143141591	5923	 4.33	 1.18	 4.41	 1	 2	  7.96	GM   	Simbad	089.51549	-35.80035
148002142	5106	 4.46	 0.91	 4.19	 3	 2	 25.03	     	Simbad	099.94478	-37.83619
157212164	5647	 4.54	 0.89	 0.57	 2	 2	 16.69	     	Simbad	105.46576	-39.36789
231936787	5836	 4.45	 1.02	 2.92	 2	 2	 16.69	     	Simbad	093.69947	-43.41742
354571604	5392	 4.39	 1.03	 4.27	 2	 2	 15.91	     	Simbad	084.30382	-42.71546
255552474	5109	 4.56	 0.81	 0.60	 1	 2	  8.34	GM   	Simbad	095.55116	-52.25217
445392997	5924	 4.19	 1.39	 1.31	 1	 2	  8.08	     	Simbad	112.48609	-51.18037
123029030	5449	 4.55	 0.85	 0.96	 4	 2	 34.96	     	Simbad	113.33822	-42.92842
156920968	5953	 4.41	 1.08	 2.17	 2	 2	 16.69	     	Simbad	099.28432	-45.59074
156933657	5820	 4.51	 0.94	 2.37	 2	 2	 16.69	     	Simbad	099.50907	-45.23014
 22120766	5345	 4.43	 0.97	 2.51	 1	 2	  8.92	     	Simbad	148.48817	-24.14696
175305230	5419	 4.30	 1.14	 1.94	 1	 2	  8.74	GM   	Simbad	116.09395	-37.88209
264767366	5495	 4.58	 0.83	 3.41	 2	 2	 17.76	     	Simbad	117.39371	-57.90341
294270749	5698	 4.62	 0.81	 3.76	 1	 2	  8.74	GM   	Simbad	108.47179	-56.52307
315095307	5201	 4.56	 0.82	 2.04	 4	 2	 35.66	     	Simbad	145.22427	-24.96801
383615666	5766	 4.39	 1.07	 0.44	 1	 2	  8.71	     	Simbad	134.86976	-54.78030
400598180	5772	 4.39	 1.08	 2.04	 3	 2	 26.22	GM   	Simbad	134.46731	-49.69737
401683991	5969	 4.25	 1.30	 2.28	 2	 2	 17.48	     	Simbad	135.85166	-48.68765
132965136	5661	 4.38	 1.07	 0.74	 5	 2	 38.44	     	Simbad	149.20597	-49.37194
298690606	5277	 4.35	 1.04	 1.92	 7	 2	 53.82	GM   	Simbad	143.10869	-52.62767
300142103	5686	 4.49	 0.94	 0.58	 1	 2	  7.42	     	Simbad	108.85416	-66.96015
359740883	5139	 4.19	 1.24	 3.91	 3	 2	 23.93	     	Simbad	140.89575	-61.19330
457573832	5777	 4.51	 0.94	 2.54	 1	 2	  7.69	     	Simbad	157.76002	-56.26550
 25950248	5948	 4.13	 1.48	 1.47	 1	 2	  8.96	     	Simbad	145.97808	-31.45293
189570671	5865	 4.22	 1.32	 3.01	 1	 2	  8.92	     	Simbad	143.71697	-27.02381
298079609	5482	 4.21	 1.27	 0.25	 1	 2	  7.69	GM   	Simbad	142.67737	-53.52170
436804673	5633	 4.46	 0.97	 2.56	 4	 2	 30.75	GM   	Simbad	140.61799	-54.82521
 15444490	5598	 4.09	 1.49	 1.98	 2	 2	 15.85	     	Simbad	185.31866	-53.29582
 21168851	5156	 4.41	 0.96	 3.25	 2	 2	 15.85	     	Simbad	186.98538	-52.18330
 66944319	5445	 4.22	 1.25	 1.57	 4	 2	 31.70	     	Simbad	181.55637	-57.03799
122189102	5414	 4.35	 1.07	 1.89	 1	 2	  8.71	     	Simbad	132.98502	-53.93242
272438475	5908	 4.37	 1.11	 3.92	 1	 2	  7.69	     	Simbad	154.23964	-51.53249
273817886	5112	 4.14	 1.31	 2.45	 2	 2	 15.85	GM   	Simbad	189.24569	-54.20500
304531034	5634	 4.51	 0.92	 3.82	 1	 2	  7.33	GM   	Simbad	178.08988	-64.74172
319218849	5136	 4.47	 0.89	 4.10	 3	 2	 21.98	GM   	Simbad	174.25015	-65.27126
372810731	5171	 4.44	 0.93	 0.65	 4	 2	 30.45	     	Simbad	152.34101	-67.61058
376382827	5151	 4.59	 0.79	 4.60	 1	 2	  7.92	GM   	Simbad	179.48726	-58.35812
398085117	5458	 4.49	 0.92	 1.66	 7	 2	 52.83	     	Simbad	160.34587	-69.67863
399367577	5224	 4.46	 0.92	 5.76	 1	 2	  7.33	     	Simbad	163.87026	-66.48742
433448211	5109	 4.11	 1.36	 2.59	 5	 2	 39.62	GM   	Simbad	182.88093	-58.28145
460105389	5453	 4.48	 0.93	 1.23	 1	 2	  7.33	GM   	Simbad	156.62345	-61.99943
460765494	5283	 4.09	 1.42	 0.32	 6	 2	 43.97	GM   	Simbad	158.62458	-62.59924
278271292	5734	 4.20	 1.32	 0.60	 3	 2	 21.71	     	Simbad	112.21102	-82.48091
304417560	5221	 4.57	 0.81	 1.56	 3	 2	 21.98	GM   	Simbad	177.96035	-64.12438
307783750	5387	 4.53	 0.87	 0.57	 2	 2	 15.22	GM   	Simbad	127.91365	-71.66113
309582191	5103	 4.46	 0.90	 0.58	 1	 2	  7.24	     	Simbad	147.96118	-79.02717
326742300	5200	 4.46	 0.91	 3.27	 4	 2	 28.92	GM   	Simbad	210.13291	-64.27347
343709282	5156	 4.56	 0.81	 6.34	 2	 2	 13.90	     	Simbad	206.78658	-70.35189
359627920	5104	 4.47	 0.90	 2.61	 1	 2	  7.99	     	Simbad	195.47652	-42.82837
418282828	5318	 4.36	 1.05	 1.39	 1	 2	  7.20	GM   	Simbad	223.91503	-59.21881
448165364	5382	 4.39	 1.01	 2.43	 4	 2	 28.92	GM   	Simbad	208.53093	-67.56246
460049532	5792	 4.51	 0.94	 2.66	 1	 2	  7.33	     	Simbad	156.18803	-65.03227
265179710	5324	 4.33	 1.09	 1.37	 1	 2	  6.68	     	Simbad	298.48696	-82.67829
293466528	5401	 4.08	 1.47	 0.98	 2	 2	 13.35	     	Simbad	050.33738	-79.28630
452632430	5299	 4.46	 0.93	 2.91	 4	 2	 29.02	     	Simbad	144.11504	-74.06063
255989063	5589	 4.53	 0.89	 2.96	 2	 2	 13.35	     	Simbad	264.61228	-72.70459
311794619	5657	 4.29	 1.18	 4.78	 5	 2	 33.38	     	Simbad	261.82407	-73.70258
357567470	5232	 4.29	 1.12	 1.64	 2	 2	 13.90	     	Simbad	187.12925	-78.69848
273699558	5278	 4.52	 0.86	 8.67	 1	 2	  6.70	     	Simbad	340.26741	-79.74345
306202919	5726	 4.40	 1.05	 6.11	 1	 2	  6.68	     	Simbad	264.39765	-62.05974
152560209	5384	 4.48	 0.92	 1.59	 2	 3	 10.95	     	Simbad	064.28243	-47.78444
277104322	5612	 4.38	 1.06	 0.14	 1	 3	  5.52	     	Simbad	084.23484	-67.00183
380436218	5998	 4.18	 1.41	 9.79	 1	 3	  5.47	     	Simbad	064.58946	-54.07166
382577844	5518	 4.58	 0.83	 2.05	 3	 3	 17.23	     	Simbad	118.54855	-60.80002
255590987	5318	 4.45	 0.94	 1.29	 3	 3	 15.91	     	Simbad	097.02532	-48.44794
  7491381	5692	 4.47	 0.96	 2.21	 4	 3	 21.37	     	Simbad	082.21404	-46.47204
130297425	5206	 4.12	 1.36	 4.50	 3	 3	 17.50	     	Simbad	104.09812	-46.78197
237971228	5693	 4.57	 0.87	 1.08	 1	 3	  5.83	     	Simbad	101.88428	-51.30366
255704443	5717	 4.47	 0.97	 6.04	 2	 3	 11.67	     	Simbad	099.02582	-49.72659
238079062	5639	 4.58	 0.85	 4.01	 1	 3	  5.83	     	Simbad	104.60286	-53.43952
260848905	5261	 4.55	 0.83	 2.67	 4	 3	 22.81	     	Simbad	118.88180	-54.61410
118541883	5764	 4.53	 0.91	 2.58	 5	 3	 28.45	     	Simbad	129.29565	-55.30294
342169848	5610	 4.56	 0.86	 2.46	 6	 3	 34.14	     	Simbad	122.78889	-55.93232
383664368	5686	 4.45	 0.99	 0.92	 7	 3	 39.55	     	Simbad	135.01419	-55.64007
238122631	5980	 4.51	 0.96	 2.11	 1	 3	  5.83	     	Simbad	105.51078	-53.45295
308667775	5256	 4.50	 0.88	 1.52	 3	 3	 16.95	     	Simbad	121.85948	-61.69491
382528981	5721	 4.05	 1.57	 0.36	 3	 3	 16.91	     	Simbad	117.63773	-61.31585
360709162	5814	 4.23	 1.30	 2.71	 4	 3	 20.66	     	Simbad	142.93643	-65.24793
383134735	5290	 4.56	 0.83	 3.96	 5	 3	 28.25	     	Simbad	134.13125	-57.01128
307365291	5286	 4.55	 0.84	 9.73	 1	 3	  5.18	     	Simbad	125.69900	-66.48691
340061403	5819	 4.50	 0.95	10.11	 1	 3	  5.70	     	Simbad	112.89678	-54.36941
282051790	5492	 4.55	 0.86	 1.15	 3	 3	 14.85	     	Simbad	132.52270	-75.91058
307286219	5907	 4.04	 1.63	 1.72	 1	 3	  5.18	     	Simbad	125.13869	-66.50149
453684455	5120	 4.55	 0.82	 4.44	 2	 3	  9.90	     	Simbad	157.51473	-74.54226
405077613	5214	 4.51	 0.87	 4.96	 2	 3	  9.35	GM   	Simbad	112.74768	-84.32436
317297606	5552	 4.49	 0.93	 7.95	 1	 3	  4.68	     	Simbad	123.85923	-84.82563
287776825	5516	 4.56	 0.85	 4.97	 1	 3	  4.95	     	Simbad	127.09819	-75.47453
453678369	5753	 4.25	 1.26	 4.64	 2	 3	  9.90	     	Simbad	157.17185	-75.56661
269958752	5181	 4.55	 0.83	 2.64	 1	 3	  5.09	GB   	Simbad	148.81282	-62.05900
261236136	5174	 4.31	 1.09	 1.86	 8	 4	 27.86	     	Simbad	088.37215	-81.94811
309714906	5657	 4.41	 1.04	 0.79	 5	 4	 18.96	     	Simbad	126.02498	-63.56738
255640745	5672	 4.53	 0.91	 4.44	 1	 4	  4.16	GM   	Simbad	098.31348	-51.22105
294157702	5340	 4.50	 0.90	 2.48	 1	 4	  4.31	     	Simbad	108.07199	-54.76938
355235442	5266	 4.37	 1.02	 1.22	 7	 4	 28.62	     	Simbad	130.50206	-62.30733
382527709	5783	 4.29	 1.20	 1.64	 5	 4	 18.85	     	Simbad	117.66181	-62.65995
270677813	5451	 4.27	 1.18	 1.21	 6	 6	 15.52	     	Simbad	087.75483	-52.63686
219389540	5744	 4.44	 1.02	 1.55	11	 6	 29.32	     	Simbad	077.02884	-53.27114
339668420	5395	 4.47	 0.93	 4.84	12	 6	 32.34	GM   	Simbad	110.34877	-57.34361
167123841	5626	 4.46	 0.98	 0.27	 6	 6	 15.40	     	Simbad	096.30178	-66.48620
307642432	5639	 4.53	 0.90	 5.51	 1	 6	  2.53	     	Simbad	127.29823	-67.20256
269855929	5261	 4.46	 0.93	 1.89	 8	 7	 16.71	     	Simbad	070.44542	-79.15403
382575703	5344	 4.48	 0.91	 2.44	 7	 7	 15.99	     	Simbad	118.13637	-61.07193
382575967	5567	 4.42	 1.01	 2.19	40	 7	 91.36	     	Simbad	118.22271	-60.78607
307490251	5818	 4.36	 1.13	 0.77	 3	 7	  6.47	     	Simbad	126.15763	-70.15898
219212899	5217	 4.55	 0.83	 4.06	 9	 7	 20.53	     	Simbad	093.39792	-53.39249
382303398	5471	 4.24	 1.22	 3.63	 1	 7	  2.23	     	Simbad	083.21668	-55.25208
270627580	5894	 4.14	 1.46	 3.90	 4	 8	  8.03	     	Simbad	087.24401	-53.43511
293970254	5713	 4.61	 0.83	 7.53	 1	 8	  1.98	     	Simbad	106.76056	-55.77100
150106601	5552	 4.46	 0.97	 3.49	 1	 8	  2.06	     	Simbad	092.32450	-60.33086
260268898	5186	 4.58	 0.80	 2.25	 8	 9	 13.97	     	Simbad	093.98499	-54.30558
279572957	5570	 4.34	 1.11	 1.81	16	 9	 27.86	     	Simbad	106.08928	-57.11041
260164371	5257	 4.29	 1.13	 0.42	 5	 9	  8.95	     	Simbad	092.97076	-56.31796
231810586	5251	 4.63	 0.76	 6.59	 1	 9	  1.74	GM   	Simbad	085.59083	-53.75747
149573659	5415	 4.46	 0.94	 4.99	 1	 9	  1.79	GM   	Simbad	086.61232	-61.69947
149126806	5603	 4.54	 0.89	 8.93	 1	 9	  1.76	GB,GM	Simbad	081.11483	-62.37793
149539114	5367	 4.36	 1.05	 0.43	22	10	 36.05	     	Simbad	085.95724	-60.09843
300741565	5864	 4.12	 1.48	 0.31	 1	10	  1.56	GM   	Simbad	115.16994	-67.07564
350341850	5544	 4.43	 1.00	 7.29	 3	10	  4.79	     	Simbad	084.24668	-54.34236
279615005	5772	 4.51	 0.94	 1.05	 2	10	  3.13	     	Simbad	106.44068	-58.12401
141945750	5104	 4.52	 0.85	25.50	 4	11	  5.79	     	Simbad	095.40770	-72.59248
349371337	5584	 4.60	 0.83	 7.29	 1	11	  1.45	GM   	Simbad	110.05939	-62.04129
294098955	5767	 4.39	 1.07	 1.51	 6	11	  8.59	     	Simbad	107.71092	-57.61291
142144969	5483	 4.61	 0.80	 8.50	 2	11	  2.89	     	Simbad	099.73103	-74.42542
167524310	5417	 4.42	 0.99	 9.50	 3	11	  4.34	     	Simbad	100.41849	-65.06950
 38827910	5304	 4.53	 0.86	 3.66	10	11	 14.14	     	Simbad	068.48541	-61.48794
349309931	5152	 4.47	 0.89	 7.00	 3	11	  4.34	     	Simbad	109.63331	-62.88015
373844472	5659	 4.61	 0.82	 0.92	 3	11	  4.36	GM   	Simbad	081.51685	-67.23300
142087340	5263	 4.36	 1.04	 5.22	 1	11	  1.45	     	Simbad	098.42582	-74.70057
350336617	5632	 4.04	 1.58	 5.51	 1	11	  1.46	     	Simbad	084.29609	-56.32473
167163906	5464	 4.55	 0.86	 0.76	18	12	 23.44	     	Simbad	096.32327	-71.36231
176873028	5628	 4.62	 0.81	 3.86	 1	12	  1.27	     	Simbad	100.94269	-71.97650
350584820	5669	 4.47	 0.97	 1.59	 7	12	  9.07	GM   	Simbad	087.15876	-56.30324
404768019	5390	 4.49	 0.91	 0.72	 8	12	 10.34	GM   	Simbad	084.64382	-68.88519
348894229	5778	 4.54	 0.91	 5.44	 1	12	  1.30	GM   	Simbad	105.92704	-62.00151
309656200	5560	 4.47	 0.95	13.22	 1	12	  1.30	     	Simbad	079.27455	-64.69632
339633702	5851	 4.43	 1.04	 2.69	 7	12	  9.11	     	Simbad	110.11605	-58.49074
 25132694	5175	 4.54	 0.84	 9.60	 1	12	  1.28	     	Simbad	061.98438	-70.22556
220457102	5636	 4.21	 1.30	 5.03	 4	12	  5.22	     	Simbad	074.34274	-58.96718
220435980	5814	 4.36	 1.12	 7.50	 1	12	  1.30	     	Simbad	073.70079	-59.29897
167247077	5782	 4.17	 1.38	 5.89	 1	12	  1.29	     	Simbad	097.63933	-67.60267
375033848	5153	 4.60	 0.77	 8.19	 1	12	  1.29	     	Simbad	099.47149	-60.28392
141425702	5718	 4.52	 0.92	13.42	 1	12	  1.29	GM   	Simbad	084.41360	-72.38650
167164775	5501	 4.21	 1.28	 7.17	 1	12	  1.30	     	Simbad	096.70735	-71.38304
350298948	5643	 4.49	 0.94	 8.93	 1	12	  1.31	     	Simbad	083.91044	-58.74735
 25078924	5737	 4.28	 1.22	 0.91	 2	13	  2.40	     	Simbad	060.93091	-65.97288
167574282	5290	 4.53	 0.86	 1.70	14	13	 16.73	     	Simbad	101.39569	-61.32053
260162387	5855	 4.20	 1.35	 1.98	18	13	 21.63	     	Simbad	092.82478	-55.55109
279570232	5638	 4.39	 1.06	 1.12	 8	13	  9.56	     	Simbad	105.96003	-58.45748
364588501	5605	 4.26	 1.22	 2.28	63	13	 75.35	     	Simbad	085.40247	-76.07281
293273183	5602	 4.48	 0.94	 3.48	 5	13	  5.99	     	Simbad	098.74939	-60.00247
348898049	5225	 4.71	 0.69	 1.00	 9	13	 10.76	     	Simbad	106.06064	-62.90222
271891181	5657	 4.44	 0.99	 4.00	 3	13	  3.59	     	Simbad	112.87502	-73.19947
140891597	5432	 4.35	 1.08	 0.24	 8	13	  9.58	GM   	Simbad	076.71074	-72.35323
279055830	5936	 4.43	 1.04	 3.34	 2	13	  2.40	     	Simbad	102.48794	-56.60849
220414387	5936	 4.38	 1.12	 4.09	 1	13	  1.21	     	Simbad	071.14580	-58.22554
278991580	5909	 4.37	 1.12	 2.64	 2	13	  2.40	     	Simbad	102.07428	-57.04897
306740183	5207	 4.58	 0.80	 6.47	 2	13	  2.39	     	Simbad	120.73036	-70.93027
140579674	5119	 4.59	 0.77	 2.25	 5	13	  5.99	GM   	Simbad	068.40580	-75.66230
220398321	5642	 4.26	 1.23	 2.64	 1	13	  1.21	     	Simbad	069.06217	-59.45937
349973650	5747	 4.38	 1.08	 6.69	 1	13	  1.19	     	Simbad	114.59398	-63.50058

